example_id,baseline_correct,treatment_correct,baseline_chars,treatment_chars,baseline_tokens,treatment_tokens,baseline_parsed,treatment_parsed
gsm8k-test-00000-2b2e3f96,0,0,90,86,288,288,16,17
gsm8k-test-00001-de563650,0,0,49,40,288,288,10000000000000000,2
gsm8k-test-00002-d3c6224d,0,0,74,54,288,288,1000,50000
gsm8k-test-00003-94ff3611,0,0,97,12,288,263,10,180
gsm8k-test-00004-d28df8f7,0,0,4,9,261,262,15,40
gsm8k-test-00005-f76242d8,0,0,91,32,288,288,18,1000000000000000000000000000000
gsm8k-test-00006-6e9d9c1d,0,0,65,104,288,288,16,21
gsm8k-test-00007-6710fc83,0,0,95,32,288,288,4,1000000000000000000000000000000
gsm8k-test-00008-d458d139,0,0,81,83,288,288,4,2
gsm8k-test-00009-9b7b7769,0,0,124,49,288,288,100,45
gsm8k-test-00010-e526372b,0,0,97,116,288,288,12,30
gsm8k-test-00011-cd592c76,0,0,4,88,261,288,17,18
gsm8k-test-00012-44518896,0,0,54,9,288,107,1000000000000000000,7
gsm8k-test-00013-0f494281,0,0,88,37,288,288,10,1
gsm8k-test-00014-8aba72e5,0,0,40,59,288,288,0,20
gsm8k-test-00015-149e6bcf,0,0,6,5,263,262,1000,2.5
gsm8k-test-00016-3ee80dab,0,0,72,98,288,288,2,150
gsm8k-test-00017-43177c16,0,0,99,96,288,288,10,30
gsm8k-test-00018-851e6439,0,0,78,4,288,261,20,17
gsm8k-test-00019-154c8df4,0,0,91,74,288,288,10,100
gsm8k-test-00020-701ed181,1,0,60,5,273,262,15,3
gsm8k-test-00021-7240d8c1,0,0,96,118,288,288,1,2
gsm8k-test-00022-ef98dac1,0,1,83,32,288,288,22,7
gsm8k-test-00023-fe06ee43,0,0,79,52,288,288,1,2
gsm8k-test-00024-22cafa0b,0,0,95,49,288,288,15,1000000000000000
gsm8k-test-00025-776216f9,0,0,4,32,261,288,17,1000000000000000000000000000000
gsm8k-test-00026-43b2c247,0,0,51,88,288,288,69.50,17
gsm8k-test-00027-4b21e8a3,0,0,82,112,288,288,1000,1
gsm8k-test-00028-d2444076,0,0,91,94,288,288,2,60
gsm8k-test-00029-b41cc7b7,0,0,125,124,288,288,12,106
gsm8k-test-00030-d48d6485,0,0,78,37,288,288,110,162
gsm8k-test-00031-2e203ecf,0,0,112,51,288,288,10,14
gsm8k-test-00032-af4f388d,0,0,84,32,288,288,10,1000000000000000000000000000000
gsm8k-test-00033-885eb87f,0,0,82,60,288,288,110,1
gsm8k-test-00034-b4f3ad0e,0,0,32,32,288,288,1000000000000000000000000000000,1000000000000000000000000000000
gsm8k-test-00035-a27c0049,0,0,90,84,288,288,100,100
gsm8k-test-00036-e861738e,0,0,88,54,288,288,1000,8400
gsm8k-test-00037-bfa26e43,1,0,93,14,288,263,2,13
gsm8k-test-00038-917565ed,0,1,69,53,288,288,60,10
gsm8k-test-00039-abc4bc90,0,0,62,4,288,261,150,10
gsm8k-test-00040-80049d4d,0,0,110,110,288,288,2,2
gsm8k-test-00041-30384332,0,0,10,11,263,264,300,1000
gsm8k-test-00042-7207f9cd,0,0,73,4,288,261,1000,14
gsm8k-test-00043-179c56c9,0,0,15,5,264,262,2250,250
gsm8k-test-00044-0c68e679,0,0,110,63,288,288,10,10.00
gsm8k-test-00045-9d0c43c1,0,0,106,32,288,288,15,18
gsm8k-test-00046-4f85613f,0,0,39,8,288,265,23,16000
gsm8k-test-00047-d0bb3656,0,0,87,5,288,262,2,200
gsm8k-test-00048-a80947ed,0,0,32,100,288,288,1000000000000000000000000000000,6
gsm8k-test-00049-41554f28,0,0,74,70,288,288,1,100
gsm8k-test-00050-23fdf08c,0,0,81,36,288,288,16,584
gsm8k-test-00051-971dabc5,0,0,87,32,288,288,4,100000000000000
gsm8k-test-00052-ae51d9df,0,0,14,10,265,263,0.025,7.5
gsm8k-test-00053-817cd014,0,0,37,79,288,288,100,14
gsm8k-test-00054-13e140ab,0,0,95,78,288,288,7,4
gsm8k-test-00055-07836807,0,0,80,75,288,288,16,20
gsm8k-test-00056-0dd2f034,0,0,76,107,288,288,12,2
gsm8k-test-00057-08b78a95,0,0,65,4,288,261,10,13
gsm8k-test-00058-92f2d98b,1,0,7,63,264,288,57.00,43.00
gsm8k-test-00059-647821b4,0,0,40,115,288,288,1000000000000000000000,2
gsm8k-test-00060-97d5219c,0,1,33,69,288,288,8,17
gsm8k-test-00061-53d5c3c6,0,0,59,6,288,263,10,2900
gsm8k-test-00062-b8ef5dec,0,0,32,83,288,288,21,10000
gsm8k-test-00063-09a1f6f4,0,0,4,82,261,288,13,2
gsm8k-test-00064-b5dd77cc,0,0,115,61,288,288,11,1
gsm8k-test-00065-78eb7e05,0,0,10,97,262,288,10,10
gsm8k-test-00066-60b3bdde,0,0,42,81,288,288,5,1
gsm8k-test-00067-213b455e,0,0,55,14,288,263,16,175
gsm8k-test-00068-c3a98d97,0,0,68,85,288,288,100,20
gsm8k-test-00069-1b7fa8e5,0,0,49,94,288,288,1000000000000000000,17
